Double Room	1	Wembly Park (must be vegaterian)	Brook Avenue	120	inclusive	HA9 8PH	3 Months+
Double Room	1M	Finsbury Park	Albert Road (pics ex)	120	inclusive	N4	1 Month+
Double Room	1	Willesden Green	Staverton Road	125	inclusive	NW2 5HL	3 Months+
Double Room	1	Lewisham	Old Road	127	inclusive	SE13 5SZ	3 Months+
Double Room	1	South Ealing	South Road	127	inclusive	W5	6 Months+
Double Room	1F	Kilburn	Glengall Road	130	inclusive	NW6	3 Months+
Double Room	1	Kilburn / Willesden Green	Temple Road	130	inclusive	NW2 6TB	3 Months+
Double Room	1	Preston Road	West Hill	130	inclusive	HA9 9RS	6 Months+
Double Room	1	Warwick Avenue	Warwick Avenue	133	inc + elec	W9	3 Months+
Double Room	2	Queen's Park (2 rooms available)	Crone Court, Denmark Road	138	inclusive	NW6	3 Months+
Double Room	2	Lewisham	Old Road	138	inclusive	SE13 5SZ	3 Months+
Double Room	1F	High St Kensington	Marloes Road (2 Months Only)	140	inclusive	W8	1 Month+
Double Room	1	Dollis Hill	Chapter Road	140	inclusive	NW2 5LG	6 Months+
Double Room	1	Swiss Cottage	Swiss Cottage (2 wk deposit)	140	inclusive	NW8	1 Month+
Double Room	1	Shepherds Bush	Percy Road	140	inclusive	W12 9QA	1 year
Double Room	2	Manor House	Manor House	140	inc + ct + elec	N4	6 Months+
Double Room	2	Hoxton	Cropley Street	140	inc + elec	N1 6TD	6 Months+
Double Room	1M	Kensington/Olympia	Addison Bridge Place (viewing 1/9/14)	143	inclusive	W14	6 Months+
Double Room	1	Clapham Junction	Wolftencroft Close	144	inclusive	SW11 2LB	6 Months+
Double Room	1	Barons Court	Humbolt Road (vierwing 5/9/14)	150	inclusive	W6 8QJ	6 Months+
Double Room	1	Liverpool Street	Gibralter Walk, Brick Lane	150	inclusive	EC1	2 Weeks+
Double Room	1	Stratford	Manbey Road	150	inclusive	E15	6 Months+
Double Room	1	Stepney Green	Mile End Road	150	inclusive	E1	3 Months+
Double Room	1	White City (close to Westfield)	White City	150	inclusive	W12	6 Months+
Double Room	1	Shepherds Bush	Bryony Road (share reception room with 1 who is rarely there)	150	inclusive	W12	6 Months+
Double Room	1	Acton Central	Churchill Road	150	inclusive	W3	3 Months+
Double Room	1	Kilburn	Kilburn High Road	150	inclusive	NW6 2QJ	6 Months+
Double Room	1	Shepherds Bush	Adelaide Road	150	inc + elec	W12	6 Months+
Double Room	1	West Acton/North Ealing	Ashbourne Close	150	exclusive	W5	3 Months+
Double Room	2	Neasden	Baskerville Gardens	150	inclusive	NW10 1PF	6 Months+
Double Room	2	Kensal Green	Buchanan Gardens	150	inclusive	NW105AE	1 Month+
Double Room	2	Kensal Green	Buchanan Gardens	150	inclusive	NW105AE	1 Month+
Double Room	2	Stratford	Manbey Street	150	inc + ct + elec	E15	6 Months+
Double Room	2	Wembley	Wembly	150	inc + elec	W2	6 Months+
Double Room	2	Woodside Park	Woodside Park	154	inclusive	N	3 Months+
